date,srad,rain,rhum,tmax,tmin,wvel
1988-01-01,16.27,0.51,82.73,27.85,25.94,8.38
1988-01-02,17.5,0.15,81.06,27.6,25.71,8.55
1988-01-03,17.78,0.11,81.55,28,25.62,9.27
1988-01-04,16.88,0.06,79.3,27.92,25.63,9.03
1988-01-05,16.85,0.14,77,28.1,25.73,8.87
1988-01-06,16.81,0.07,79.96,27.67,25.32,8.36
1988-01-07,16.81,0.07,78.59,27.79,25.39,8.65
1988-01-08,18.47,0.06,77.53,27.51,25.16,8.92
1988-01-09,18.83,0.04,82.33,27.98,24.94,8.76
1988-01-10,17.68,0.33,80.08,27.77,25.07,9.23
1988-01-11,18.54,0.3,79.39,27.87,25.04,8.42
1988-01-12,18,0.25,79.91,27.33,25.15,8.6
1988-01-13,17.53,0.33,79.14,27.69,25.03,8.05
1988-01-14,17.78,0.12,77.45,27.6,25.11,8.4
1988-01-15,18.94,0.04,79.77,27.37,24.77,7.72
1988-01-16,18.47,0.02,80.82,27,24.86,7.26
1988-01-17,18.68,0.01,76.64,26.95,24.68,6.65
1988-01-18,19.04,0.03,77.53,26.79,24.4,6.02
1988-01-19,17.86,0.01,79.07,26.86,24.33,6.63
1988-01-20,22.36,0.18,76.76,26.98,24.73,7.5
1988-01-21,19.19,0.16,78.19,27.16,24.59,7.61
1988-01-22,20.3,0.03,76.18,27.17,24.49,7.68
1988-01-23,19.55,0.01,74.53,27.21,24.3,7.64
1988-01-24,18.58,0.04,78.6,27.31,24.48,8.17
1988-01-25,19.4,0.03,77.47,27.35,24.72,7.49
1988-01-26,18.68,0.03,80.46,27.28,24.73,7.58
1988-01-27,18.61,0.01,80.33,27.62,24.97,7.02
1988-01-28,18.79,0.05,80.9,27.47,24.69,7.46
1988-01-29,13.86,0.03,77.91,27.25,24.81,8.09
1988-01-30,12.06,0.04,77.56,27.55,25,8.82
1988-01-31,17.24,0.16,80.71,27.8,25.22,9.16
1988-02-01,19.26,0.15,82.28,28.03,25.18,9.14
1988-02-02,18.25,0.14,82.63,27.78,25.35,8.54
1988-02-03,20.92,0.26,83.42,27.21,25.03,7.24
1988-02-04,22.9,0.16,80.92,27.9,24.85,7.71
1988-02-05,19.51,0.08,79.93,27.84,25.25,7.81
1988-02-06,22.5,0.12,81.86,28,25.14,8.06
1988-02-07,14.9,0.45,83.66,27.63,25.29,8.28
1988-02-08,16.34,0.29,84.05,27.73,25.29,8.26
1988-02-09,14.54,0.88,82.89,28.13,25.43,7.83
1988-02-10,19.33,0.1,77.28,27.92,25.21,8.48
1988-02-11,19.3,0.16,74.77,27.55,25.28,7.2
1988-02-12,19.19,0.42,81.19,27.8,25.04,6.99
1988-02-13,17.14,0.08,80.63,27.73,25.08,7.36
1988-02-14,16.92,0.57,78.71,27.75,25.2,8.47
1988-02-15,19.73,0.45,78.98,27.68,25.34,9.3
1988-02-16,19.87,0.02,76,27.76,25.31,9.27
1988-02-17,20.59,0.1,78.3,27.75,25.17,9.16
1988-02-18,19.69,0.18,78.71,27.82,25.21,8.26
1988-02-19,21.46,0.04,77.37,27.9,25.12,8.89
1988-02-20,22.07,0,77.88,27.58,24.92,9.31
